Department,Contract No,Description,Probable Date
HyD,HY/2026/03,6461TH RD M5 Mr. LEUNG Ma Tau Kok Landscaped Deck and the adjoining Waterfront 2026年 Group C Chin Hung Promenade 第2季 道路及渠務 梁展鴻先生,2026 Q2
HyD,HY/2026/03,6461TH RD M5 Mr. LEUNG Ma Tau Kok Landscaped Deck and the adjoining Waterfront 2026年 Group C Chin Hung Promenade 第2季 道路及渠務 梁展鴻先生,2026 Q2
HyD,02/HY/2026,"6100TX/ INDU M5 Mr. CHAN MV Management, Operation, Installation and Maintenance of the 2026年 or Muk-lee Public Lighting System in Kowloon and New Territories 第2季 ELEC 陳木利先生",2026 Q2
HyD,02/HY/2026,"6100TX/ INDU M5 Mr. CHAN MV Management, Operation, Installation and Maintenance of the 2026年 or Muk-lee Public Lighting System in Kowloon and New Territories 第2季 ELEC 陳木利先生",2026 Q2
HyD,HY/2025/15,"6880TH RD M5 Ms. NG Yi Extension Works to Lung Fu Road, Tuen Mun 2026年 Group C Kee 第2季 道路及渠務 吳漪琪女士",2026 Q2
HyD,HY/2025/15,"6880TH RD M5 Ms. NG Yi Extension Works to Lung Fu Road, Tuen Mun 2026年 Group C Kee 第2季 道路及渠務 吳漪琪女士",2026 Q2
HyD,HY/2026/01,"6100TX RD M1 Mr. CHO Expansion of Bus-Bus Interchange at Tate's Cairn Tunnel, 2026年 Group A and Man-kin Improvement Works of Kwong Fuk Roundabout, New 第2季 B 曹文健先生",2026 Q2
HyD,HY/2026/01,"6100TX RD M1 Mr. CHO Expansion of Bus-Bus Interchange at Tate's Cairn Tunnel, 2026年 Group A and Man-kin Improvement Works of Kwong Fuk Roundabout, New 第2季 B 曹文健先生",2026 Q2
HyD,04/HY/2026,6100TX/ RD M5 Mr. SUN MV Highways Department Term Contract 2026年 Group C Chung-leung (Management and Maintenance of Roads in Tai Po and 第4季 道路及渠務 孫忠良先生,2026 Q4
HyD,04/HY/2026,6100TX/ RD M5 Mr. SUN MV Highways Department Term Contract 2026年 Group C Chung-leung (Management and Maintenance of Roads in Tai Po and 第4季 道路及渠務 孫忠良先生,2026 Q4
HyD,05/HY/2026,6100TX/ RD M5 Mr. LEE MV Highways Department Term Contract (Management and 2026年 Group C Din-yau Maintenance of Roads in Tsuen Wan and Kwai Tsing 第4季 道路及渠務 李典祐先生,2026 Q4
HyD,05/HY/2026,6100TX/ RD M5 Mr. LEE MV Highways Department Term Contract (Management and 2026年 Group C Din-yau Maintenance of Roads in Tsuen Wan and Kwai Tsing 第4季 道路及渠務 李典祐先生,2026 Q4
CEDD,CV/2025/03,5824CL-1 PW M5 Mr. C T LAM Management of Sediment Disposal Facility 2026年 Group C 林振德先生 to the West of Lamma Island 第 1 季 海港工程 2762 5559,2026Q1
CEDD,CV/2025/03,5824CL-1 PW M5 Mr. C T LAM Management of Sediment Disposal Facility 2026年 Group C 林振德先生 to the West of Lamma Island 第 1 季 海港工程 2762 5559,2026Q1
CEDD,CV/2025/04,3035NB WW M3 Mr. Matthew S. Water Supply to Crematorium at Wo Hop 2026年 Group B Y. LAI Shek Cemetery 第 1 季 水務 黎思源先生,2026 Q1
CEDD,CV/2025/04,3035NB WW M3 Mr. Matthew S. Water Supply to Crematorium at Wo Hop 2026年 Group B Y. LAI Shek Cemetery 第 1 季 水務 黎思源先生,2026 Q1
CEDD,GE/2025/29,"5001BX GROU M1 Mr. Jonathan W Landslip Prevention and Mitigation 2026年 Group II C LAU Programme, Ground Investigation Term 第 1 季 場地勘探 劉偉祥先生",2026 Q1
CEDD,GE/2025/29,"5001BX GROU M1 Mr. Jonathan W Landslip Prevention and Mitigation 2026年 Group II C LAU Programme, Ground Investigation Term 第 1 季 場地勘探 劉偉祥先生",2026 Q1
CEDD,GE/2025/20,"5001BX LANP M3 Mr. Jonathan W Landslip Prevention and Mitigation 2026年 斜坡/ C LAU Programme, New Territories East, Phase 1, 第 1季 擋土牆的 劉偉祥先生",2026 Q1
